;bentopel;demersal;bento;food.cons;first.mat.rel.cm;nivel.trofico
Aaltiparanae;1;0;0;41.7;0.654867257;2.8
Aassuncionensis;1;0;0;15.4;0.628930818;2.8
Alineatus;1;0;0;27.2;0.640625;2.8
Amarionae;1;0;0;41;0.692307692;2.8
Astyanacinusmorii;1;0;0;40.2;0.654205607;3
Astyanaxsp;1;0;0;40.46;0.65300286;NA
Aeigenmanniorum;1;0;0;40.6;0.698113208;2.9
Afasciatus;1;0;0;24.8;0.623595506;3
Aibitiensis;1;0;0;45.3;0.65;2.3
Ancistrussp;1;0;0;41.66;0.646076795;NA
Aparanae;1;0;0;23.3;0.644628099;2.7
Apiracicabae;1;0;0;49.5;0.640625;2.3
Bryconamericussp;1;0;0;25.31;0.674968867;NA
Bstramineus;1;0;0;20.5;0.644628099;2.7
Caeneus;0;1;0;57.4;0.675;3
Cbritski;1;0;0;12.9;0.62987013;3.1
Crenicichlasp;1;0;0;14.77;0.613539446;NA
Ccallichthyes;0;1;0;12;0.622222222;3.3
Cgomesi;1;0;0;14.1;0.685714286;3.5
Clateralle;1;0;0;42;0.736842105;3.3
Cparanaense;1;0;0;20.3;0.670886076;3.3
Czebra;1;0;0;31.6;0.68115942;3.5
Deuterodonsp;1;0;0;38.41;0.66031746;NA
Gymnotus;1;0;0;7.45;0.581768625;NA
Ginaequilabiatus;1;0;0;3.8;0.548231511;3.4
Hancistroides;0;1;0;31.8;0.610859729;2
Hcocliodon;1;0;0;24.3;0.603305785;2.1
Hiheringii;0;1;0;47.8;0.650406504;2.3
Hypostomus.paraguai;1;0;0;27.37;0.598894591;NA
Hinsperatus;0;1;0;79.3;0.727272727;2.4
Hisonotussp;0;1;0;63.75;0.724137931;2.4
Hmalabaricus;1;0;0;4.9;0.553228621;4.5
Hmarginatus;1;0;0;33.8;0.714285714;2.8
Hypostomussp;0;1;0;27.37;0.598894591;NA
Ischubarti;0;1;0;19;0.656565657;3
Jacantogaster;1;0;0;38;0.694915254;2.9
Lfriderici;0;0;1;5.9;0.563291139;3.3
Lplatymetopon;0;1;0;24.5;0.587301587;2.5
Msfilomenae;1;0;0;53.3;0.68;3
Opintoi;1;0;0;24;0.666666667;3.5
Pargentea;1;0;0;57.1;0.684931507;3
Piabinasp;1;0;0;58.45;0.699115044;NA
Paustralis;1;0;0;25.5;0.703703704;3.2
Pgaleatus;0;1;0;16.9;0.607758621;3.1
Pkennedyi;0;0;1;97.4;0.698412698;3
Pnasus;1;0;0;44;0.626506024;2.3
Preticulata;1;0;0;71.7;0.714285714;3.2
Ptenebrosa;0;1;0;20.9;0.680555556;3.2
Pmenezesi;0;1;0;41.6;0.630872483;2.4
Rineloricariasp;0;1;0;33.19;0.623869801;2.4
Rlanceolata;0;1;0;63.6;0.663366337;2.4
Rparanensis;0;0;1;24.1;0.663157895;3.3
Rquelen;0;0;1;7;0.561866126;3.2
Smicrodon;1;0;0;68.2;0.711111111;2.5
Smarmoratus;0;1;0;4.9;0.500326158;2.8
Snotomelas;1;0;0;94.1;0.717948718;2.2
